Fasta	Genome	contig	Start	Stop	protID	name	url
GCF-001516305-protein12249.fasta	GCF_001516305	NZ_CP008859.2	6154535	6155108	12249	Uncharacterized conserved protein	http://purl.uniprot.org/uniprot/A0A157WGN3
GCF-002968515-protein737.fasta	GCF_002968515	NZ_CP027165.1	800787	801501	737	type II secretion system protein GspJ	http://purl.uniprot.org/uniparc/UPI0000DAF4A8
GCF-000473745-protein6977.fasta	GCF_000473745	NZ_CP008739.1	1293726	1295427	6977	60 kDa chaperonin	http://purl.uniprot.org/uniprot/Q02H55
GCF-002968695-protein9165.fasta	GCF_002968695	NZ_CP027174.1	2764144	2764870	9165	Putative dienelactone hydrolase family protein	http://purl.uniprot.org/uniprot/A0A448BN58
GCF-001447845-protein994.fasta	GCF_001447845	NZ_CP013245.1	1089544	1089928	994	hypothetical protein	http://purl.uniprot.org/uniparc/UPI000936DB4F
GCF-001515845-protein11947.fasta	GCF_001515845	NZ_CP008865.2	6679397	6680762	11947	FAD-binding oxidoreductase	http://purl.uniprot.org/uniprot/A0A2W6XBN3
GCF-000981825-protein860.fasta	GCF_000981825	NZ_CP011317.1	928028	928280	860	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A3E1MTZ0
GCF-002946935-protein9541.fasta	GCF_002946935	NZ_CP026680.1	3712033	3712300	9541	Uncharacterized protein	http://purl.uniprot.org/uniprot/V6AH32
GCF-001293085-protein10558.fasta	GCF_001293085	NZ_CP012679.1	5208697	5209348	10558		
GCF-001516365-protein1186.fasta	GCF_001516365	NZ_CP008862.2	1279814	1281263	1186	APC family permease	http://purl.uniprot.org/uniprot/A0A2R4Q8E1
GCF-001447845-protein3122.fasta	GCF_001447845	NZ_CP013245.1	3439242	3440244	3122	fimbrial protein	http://purl.uniprot.org/uniparc/UPI0003B98266
GCF-002411865-protein4003.fasta	GCF_002411865	NZ_CP031449.1	4342889	4343864	4003		
GCF-000271985-protein9703.fasta	GCF_000271985	NZ_CP015877.1	4200551	4201760	9703	MFS transporter	http://purl.uniprot.org/uniparc/UPI0003172BEB
GCF-900185255-protein9022.fasta	GCF_900185255	NZ_LT883143.1	3664471	3665611	9022	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1F0J002
GCF-000568855-protein6492.fasta	GCF_000568855	NZ_CP020659.1	689628	690624	6492	threonine-phosphate decarboxylase	http://purl.uniprot.org/uniparc/UPI000281B093
GCF-002997005-protein174.fasta	GCF_002997005	NZ_CP027538.1	193734	195063	174	replication-associated recombination protein A	http://purl.uniprot.org/uniparc/UPI00053EF0CF
GCF-002968695-protein12014.fasta	GCF_002968695	NZ_CP027174.1	5896363	5897062	12014	Transcriptional regulator	http://purl.uniprot.org/uniprot/A0A4Z0FQ53
GCF-003073695-protein4694.fasta	GCF_003073695	NZ_CP029093.1	5087234	5088596	4694	Inner membrane metabolite transport protein YgcS	http://purl.uniprot.org/uniprot/A0A2R3ISF0
GCF-002215345-protein12564.fasta	GCF_002215345	NZ_CP017293.1	6293808	6296073	12564	DotA/TraY family protein	http://purl.uniprot.org/uniparc/UPI00053D6A48
GCF-000508765-protein1695.fasta	GCF_000508765	NC_023066.1	1787301	1787649	1695	Fucose-binding lectin	http://purl.uniprot.org/uniprot/A0A2V2TXE1
GCF-003028335-protein636.fasta	GCF_003028335	NZ_CP028162.1	689304	691227	636	AAA_PrkA domain-containing protein	http://purl.uniprot.org/uniprot/A0A0H2ZKX3
GCF-000473745-protein6489.fasta	GCF_000473745	NZ_CP008739.1	764818	765919	6489	Putative glycosyl transferase	http://purl.uniprot.org/uniprot/A0A0H2ZI12
GCF-003073615-protein12421.fasta	GCF_003073615	NZ_CP029089.1	6727924	6728179	12421	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A086BVT7
GCF-000524595-protein3097.fasta	GCF_000524595	NZ_CP007147.1	3390965	3391517	3097	Exonuclease domain-containing protein	http://purl.uniprot.org/uniprot/Q9I3E2
GCF-900095805-protein6902.fasta	GCF_900095805	NZ_LT608330.1	1304045	1304924	6902	Replication protein A	http://purl.uniprot.org/uniprot/A0A425AB46
GCF-001447845-protein3702.fasta	GCF_001447845	NZ_CP013245.1	4070896	4072135	3702	Aspartokinase	http://purl.uniprot.org/uniprot/O69077
GCF-002968955-protein9648.fasta	GCF_002968955	NZ_CP027166.1	3940032	3940911	9648		
GCF-003052005-protein12404.fasta	GCF_003052005	NZ_CP028584.2	6538944	6539436	12404	Disulfide bond formation protein B 1	http://purl.uniprot.org/uniprot/P21482
GCF-003073895-protein10190.fasta	GCF_003073895	NZ_CP029097.1	3742044	3742455	10190		
GCF-000226155-protein8223.fasta	GCF_000226155	NC_017548.1	2341096	2341987	8223	ATP-binding protein	http://purl.uniprot.org/uniparc/UPI000188FE11
GCF-002968695-protein11235.fasta	GCF_002968695	NZ_CP027174.1	5011387	5012494	11235	NAD(P)/FAD-dependent oxidoreductase	http://purl.uniprot.org/uniparc/UPI0004D521FE
GCF-900070375-protein4779.fasta	GCF_900070375	NZ_LN871187.1	5250731	5251829	4779	Putative 2C-like protein phosphatase	http://purl.uniprot.org/uniprot/C6JW52
GCF-003571505-protein8793.fasta	GCF_003571505	NZ_CP012901.1	2432477	2432708	8793	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00045287CA
GCF-000473745-protein11884.fasta	GCF_000473745	NZ_CP008739.1	6767159	6768128	11884	Tim44 domain-containing protein	http://purl.uniprot.org/uniprot/A0A0H2ZJW8
GCF-900243355-protein6429.fasta	GCF_900243355	NZ_LT969520.1	6978239	6979166	6429	Branched-chain amino acid transport system / perm ease component	http://purl.uniprot.org/uniprot/A0A2K4Y2E7
GCF-003028335-protein3799.fasta	GCF_003028335	NZ_CP028162.1	4141119	4142406	3799	Citrate synthase	http://purl.uniprot.org/uniprot/P14165
GCF-001792835-protein6544.fasta	GCF_001792835	NZ_CP015001.1	127211	128537	6544	TIGR02270 family protein	http://purl.uniprot.org/uniparc/UPI000188FA03
GCF-000473745-protein5960.fasta	GCF_000473745	NZ_CP008739.1	173824	174949	5960	Purine-binding protein BAB2_0673	http://purl.uniprot.org/uniprot/A0A157WFS3
GCF-000271365-protein2866.fasta	GCF_000271365	NC_018080.1	3127352	3128522	2866	DUF2399 domain-containing protein	http://purl.uniprot.org/uniprot/A0A3S0JES5
GCF-002411865-protein3111.fasta	GCF_002411865	NZ_CP031449.1	3405856	3407188	3111	Uncharacterized conserved protein (Some members contain a von Willebrand factor type A (VWA) domain)	http://purl.uniprot.org/uniprot/A0A335Z067
