gene	PC	NDC
GCF-001482325-protein2848.fasta	1	138
GCF-002812825-protein6059.fasta	1	112
GCF-002968755-protein5483.fasta	1	137
GCF-001447845-protein2364.fasta	1	139
GCF-003369755-protein7737.fasta	1	138
GCF-003073615-protein10882.fasta	1	133
GCF-001516265-protein5222.fasta	1	126
GCF-000017205-protein8183.fasta	1	138
GCF-002085755-protein4518.fasta	1	137
GCF-003060845-protein5345.fasta	1	139
GCF-003028335-protein3340.fasta	1	140
GCF-003319235-protein11526.fasta	1	126
GCF-001516105-protein3905.fasta	2	139
GCF-002205375-protein8543.fasta	2	139
GCF-002104595-protein8901.fasta	2	135
GCF-003369735-protein278.fasta	2	139
GCF-003571505-protein10546.fasta	2	139
GCF-001516105-protein3036.fasta	2	0
GCF-001594325-protein2254.fasta	2	78
GCF-000504045-protein8863.fasta	2	137
GCF-001516265-protein127.fasta	2	138
GCF-001516225-protein1867.fasta	2	138
GCF-002946935-protein8684.fasta	2	105
GCF-001722005-protein270.fasta	2	138
GCF-003193645-protein403.fasta	2	139
GCF-001792835-protein11503.fasta	2	130
GCF-001482325-protein3240.fasta	2	139
GCF-002192475-protein9803.fasta	2	134
GCF-003073895-protein10935.fasta	2	137
GCF-000017205-protein8207.fasta	2	138
GCF-001679685-protein2125.fasta	2	135
GCF-002215345-protein11587.fasta	2	126
GCF-002812825-protein7969.fasta	3	136
GCF-000026645-protein1365.fasta	3	136
GCF-000017205-protein7817.fasta	3	134
GCF-001874465-protein12104.fasta	3	135
GCF-001632245-protein6340.fasta	3	131
GCF-001874465-protein8199.fasta	3	6
GCF-000816985-protein689.fasta	3	137
GCF-900243355-protein3674.fasta	3	138
GCF-000017205-protein10782.fasta	3	137
GCF-002411865-protein2962.fasta	3	137
GCF-001516305-protein6956.fasta	3	137
GCF-001516365-protein1255.fasta	3	138
GCF-001515915-protein5599.fasta	3	135
GCF-900149285-protein1735.fasta	3	43
GCF-000017205-protein7723.fasta	3	137
GCF-003319235-protein10010.fasta	3	134
GCF-001632245-protein9574.fasta	3	125
GCF-002968755-protein577.fasta	3	137
GCF-000981825-protein3868.fasta	3	133
GCF-001516105-protein5712.fasta	3	137
GCF-900185255-protein7900.fasta	4	120
GCF-002753655-protein5660.fasta	4	134
GCF-002075065-protein2422.fasta	4	135
GCF-000508765-protein2610.fasta	4	125
GCF-002205375-protein12559.fasta	4	136
GCF-003060845-protein4015.fasta	4	135
GCF-003206535-protein8605.fasta	4	137
GCF-900149285-protein5372.fasta	5	135
GCF-002997005-protein3391.fasta	5	134
GCF-003193645-protein2179.fasta	5	134
GCF-001594325-protein4325.fasta	5	136
GCF-003073695-protein2511.fasta	5	136
GCF-000284555-protein4820.fasta	5	102
GCF-002812825-protein9498.fasta	5	136
GCF-002946935-protein11275.fasta	5	134
GCF-002104595-protein10682.fasta	5	133
GCF-001618925-protein2981.fasta	5	135
GCF-001516325-protein3291.fasta	5	134
GCF-001516325-protein5021.fasta	5	136
GCF-002411865-protein658.fasta	5	136
GCF-001594325-protein4327.fasta	5	136
GCF-001632245-protein6608.fasta	5	134
GCF-001516225-protein649.fasta	5	136
GCF-001632245-protein7880.fasta	5	135
GCF-000496455-protein3507.fasta	6	133
GCF-003288335-protein726.fasta	6	134
GCF-003433235-protein3628.fasta	6	135
GCF-002075065-protein1838.fasta	6	127
GCF-002085605-protein11663.fasta	6	123
GCF-001632245-protein9605.fasta	6	134
GCF-000014625-protein1873.fasta	6	135
GCF-002411865-protein4615.fasta	6	131
GCF-000026645-protein2619.fasta	6	131
GCF-003369775-protein43.fasta	6	121
GCF-000524595-protein1702.fasta	6	135
GCF-002411865-protein844.fasta	7	131
GCF-002205335-protein6742.fasta	7	132
GCF-900243355-protein5162.fasta	8	132
GCF-003288435-protein4852.fasta	8	100
GCF-001516165-protein8433.fasta	8	132
GCF-002946935-protein8661.fasta	8	111
GCF-002968655-protein5213.fasta	8	131
GCF-001516265-protein3965.fasta	8	125
GCF-001547955-protein11929.fasta	8	124
GCF-001515915-protein4759.fasta	8	129
GCF-003369755-protein7736.fasta	8	132
GCF-000981825-protein963.fasta	8	108
GCF-001515845-protein7364.fasta	8	97
GCF-003429185-protein1227.fasta	8	133
GCF-001547955-protein6551.fasta	8	132
GCF-002205375-protein9751.fasta	9	130
GCF-001045685-protein11295.fasta	9	128
GCF-001792855-protein598.fasta	9	127
GCF-001547955-protein12559.fasta	10	131
GCF-002075065-protein2470.fasta	10	131
GCF-003073795-protein1582.fasta	10	127
GCF-001879525-protein586.fasta	10	126
GCF-002215345-protein9393.fasta	10	88
GCF-001516165-protein6783.fasta	10	129
GCF-001516185-protein4693.fasta	10	114
GCF-002205375-protein12579.fasta	10	125
GCF-002237425-protein2667.fasta	10	128
GCF-001542795-protein10090.fasta	10	126
GCF-900185255-protein10214.fasta	10	120
GCF-003433235-protein4952.fasta	11	130
GCF-003433235-protein6247.fasta	11	120
GCF-900243355-protein4682.fasta	11	130
GCF-002753655-protein4450.fasta	11	121
GCF-002968655-protein5191.fasta	11	113
GCF-003073895-protein7523.fasta	11	54
GCF-001632245-protein11623.fasta	11	129
GCF-000510305-protein10915.fasta	11	130
GCF-003319235-protein7234.fasta	11	129
GCF-002968955-protein8996.fasta	11	128
GCF-002411865-protein3019.fasta	11	120
GCF-003073735-protein6323.fasta	12	117
GCF-003288355-protein6427.fasta	12	126
GCF-001547955-protein7601.fasta	12	128
GCF-002968955-protein11486.fasta	12	118
GCF-001792855-protein4803.fasta	12	125
GCF-000284555-protein5350.fasta	12	115
GCF-002968655-protein2554.fasta	12	123
GCF-002968695-protein12568.fasta	12	115
GCF-003571505-protein9948.fasta	13	128
GCF-002411865-protein2643.fasta	13	122
GCF-002208645-protein4245.fasta	13	125
GCF-002968695-protein7579.fasta	13	109
GCF-002968585-protein8840.fasta	14	103
GCF-002237405-protein8221.fasta	14	126
GCF-002287725-protein8615.fasta	14	127
GCF-001679685-protein3644.fasta	15	41
GCF-001632245-protein7032.fasta	15	3
GCF-002215345-protein12730.fasta	15	125
GCF-002946935-protein9297.fasta	15	117
GCF-003319235-protein9087.fasta	15	126
GCF-001721825-protein4055.fasta	17	115
GCF-000359505-protein6926.fasta	17	112
GCF-001900195-protein8101.fasta	17	1
GCF-001548335-protein6383.fasta	17	123
GCF-001515915-protein3120.fasta	17	120
GCF-003571805-protein1551.fasta	18	103
GCF-002411865-protein2964.fasta	18	123
GCF-002968955-protein9074.fasta	18	123
GCF-003052005-protein11251.fasta	18	95
GCF-001516345-protein6781.fasta	19	119
GCF-003073795-protein3937.fasta	19	118
GCF-003073795-protein3972.fasta	19	120
GCF-002237405-protein6788.fasta	19	121
GCF-001679685-protein5368.fasta	19	108
GCF-001618925-protein1639.fasta	19	119
GCF-002968955-protein9673.fasta	21	7
GCF-000017205-protein10072.fasta	21	116
GCF-003369775-protein3421.fasta	21	114
GCF-002104595-protein8908.fasta	21	119
GCF-000829885-protein8871.fasta	22	117
GCF-003369735-protein2314.fasta	23	87
GCF-003073735-protein7472.fasta	23	113
GCF-900185255-protein7935.fasta	23	116
GCF-001547955-protein11195.fasta	23	118
GCF-001516165-protein8417.fasta	23	115
GCF-003073735-protein8878.fasta	24	101
GCF-001515845-protein11818.fasta	25	106
GCF-002753655-protein5415.fasta	25	115
GCF-002812865-protein11488.fasta	26	113
GCF-003319235-protein11073.fasta	26	115
GCF-001045685-protein12389.fasta	26	105
GCF-003288355-protein8462.fasta	27	96
GCF-002968755-protein57.fasta	28	113
GCF-002753655-protein3731.fasta	28	111
GCF-001516265-protein3605.fasta	28	109
GCF-900095805-protein8179.fasta	28	91
GCF-003073735-protein8104.fasta	32	108
GCF-003193645-protein640.fasta	32	109
GCF-003073795-protein1605.fasta	33	104
GCF-003369775-protein3042.fasta	33	97
GCF-002223805-protein4497.fasta	33	95
GCF-001750705-protein4934.fasta	33	85
GCF-002208645-protein5820.fasta	33	99
GCF-002223805-protein2003.fasta	34	106
GCF-003206535-protein10847.fasta	35	103
GCF-003433235-protein3623.fasta	35	103
GCF-003073795-protein3966.fasta	36	97
GCF-000271365-protein2178.fasta	36	103
GCF-001721745-protein2404.fasta	36	105
GCF-001516185-protein3196.fasta	36	83
GCF-002411865-protein3020.fasta	37	83
GCF-002946935-protein10262.fasta	41	61
GCF-001721745-protein4281.fasta	41	98
GCF-003073735-protein11026.fasta	43	85
GCF-000568855-protein8248.fasta	43	89
GCF-900243355-protein6123.fasta	46	86
GCF-001516185-protein5869.fasta	46	84
GCF-003204335-protein2586.fasta	47	89
GCF-003060845-protein3964.fasta	47	91
GCF-002968695-protein7562.fasta	47	86
GCF-003288355-protein5823.fasta	47	92
GCF-002237405-protein7814.fasta	48	83
GCF-002215345-protein9390.fasta	48	85
GCF-002968695-protein9451.fasta	50	23
GCF-002411865-protein2983.fasta	50	88
GCF-000829885-protein6277.fasta	50	85
GCF-002411865-protein2975.fasta	50	89
GCF-003073735-protein8883.fasta	50	84
GCF-002215345-protein9419.fasta	50	84
GCF-002208645-protein4267.fasta	50	89
GCF-002237405-protein6806.fasta	51	83
GCF-900185255-protein10427.fasta	51	83
GCF-000473745-protein6638.fasta	52	86
GCF-001077475-protein4055.fasta	52	88
GCF-001687285-protein9636.fasta	54	0
GCF-002205375-protein13018.fasta	54	1
GCF-003369775-protein3846.fasta	54	86
GCF-003369775-protein2935.fasta	54	85
GCF-001515845-protein10933.fasta	55	86
GCF-000226155-protein10733.fasta	55	84
GCF-001516265-protein6132.fasta	56	84
GCF-003369775-protein3833.fasta	56	83
GCF-003288435-protein2182.fasta	58	69
GCF-003073735-protein8834.fasta	60	81
GCF-003369775-protein3030.fasta	60	80
GCF-001516345-protein11189.fasta	68	69
GCF-001516265-protein5209.fasta	68	73
GCF-002442855-protein11350.fasta	68	68
GCF-002968515-protein3249.fasta	68	70
GCF-000504045-protein10654.fasta	71	44
GCF-000017205-protein10184.fasta	71	63
GCF-003206535-protein8549.fasta	77	58
GCF-000359505-protein10920.fasta	77	64
GCF-000524595-protein2451.fasta	77	63
GCF-003073735-protein10585.fasta	98	0
GCF-001516325-protein4036.fasta	98	43
GCF-002208645-protein2156.fasta	111	28
GCF-002968955-protein10122.fasta	111	6
GCF-003073615-protein9337.fasta	123	18
GCF-002968955-protein12218.fasta	123	17
GCF-003429185-protein1980.fasta	123	18
GCF-000017205-protein9567.fasta	130	7
GCF-001594325-protein3811.fasta	130	7
GCF-002968695-protein8586.fasta	131	8
GCF-001045685-protein10874.fasta	131	2
GCF-003073695-protein4012.fasta	131	9
GCF-003073695-protein2920.fasta	131	6
GCF-002968955-protein7944.fasta	133	7
GCF-002075065-protein736.fasta	133	1
GCF-001045685-protein12199.fasta	134	5
GCF-000271985-protein7318.fasta	135	3
GCF-001516185-protein3827.fasta	136	4
GCF-000017205-protein7233.fasta	136	4
GCF-000017205-protein6853.fasta	137	0
GCF-003073615-protein10300.fasta	137	4
GCF-003025345-protein6243.fasta	138	2
GCF-002968695-protein11758.fasta	138	2
GCF-003288335-protein693.fasta	139	2
GCF-003073695-protein2338.fasta	139	2
GCF-003028335-protein1426.fasta	140	0
GCF-003369775-protein3855.fasta	140	1
GCF-002997005-protein4453.fasta	141	0
GCF-003025345-protein10164.fasta	141	0
GCF-003571505-protein7555.fasta	141	0
GCF-003073695-protein5063.fasta	141	0
GCF-003060845-protein5396.fasta	1	50
GCF-002968695-protein6752.fasta	1	39
GCF-001792835-protein9626.fasta	18	173
GCF-002968695-protein8947.fasta	18	623
GCF-001729505-protein10652.fasta	30	21
GCF-003073695-protein479.fasta	30	672
GCF-002968695-protein8729.fasta	64	60
GCF-001516265-protein5749.fasta	64	839
GCF-002997005-protein3665.fasta	122	29
GCF-002968695-protein7470.fasta	122	1406
